Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
Oak Street Weather Station,12/30/2016 02:00:00 PM,1.6,-1.9,44,0,0,135.1,0,315,1.2,3.6,993.8,112,1,11.9,12/30/2016 2:00 PM,OakStreetWeatherStation201612301400
63rd Street Weather Station,12/30/2016 01:00:00 PM,0.4,-2.3,55,0,0,39.3,0,245,4,5.5,994.1,235,354,11.9,12/30/2016 1:00 PM,63rdStreetWeatherStation201612301300
Foster Weather Station,12/30/2016 01:00:00 PM,0.17,,41,,0,,,273,2.5,2.9,993.2,0,,15.1,12/30/2016 1:00 PM,FosterWeatherStation201612301300
Oak Street Weather Station,12/30/2016 01:00:00 PM,1,-2.3,47,0,0,135.1,0,240,2.2,4.4,994.3,182,1,12,12/30/2016 1:00 PM,OakStreetWeatherStation201612301300
63rd Street Weather Station,12/30/2016 12:00:00 PM,-0.6,-3.1,56,0,0,39.3,0,278,5.9,7.9,994.6,255,353,11.8,12/30/2016 12:00 PM,63rdStreetWeatherStation201612301200
Foster Weather Station,12/30/2016 12:00:00 PM,-0.89,,47,,0,,,293,4.5,5.2,993.9,0,,15.2,12/30/2016 12:00 PM,FosterWeatherStation201612301200
Oak Street Weather Station,12/30/2016 12:00:00 PM,0,-2.7,53,0,0,135.1,0,273,2.7,4.3,995,85,1,12,12/30/2016 12:00 PM,OakStreetWeatherStation201612301200
63rd Street Weather Station,12/30/2016 11:00:00 AM,-1.3,-3.4,62,0,0,39.3,0,268,5.6,8.9,995.2,266,354,11.8,12/30/2016 11:00 AM,63rdStreetWeatherStation201612301100
Foster Weather Station,12/30/2016 11:00:00 AM,-1.89,,52,,0,,,261,2.2,2.6,994.6,0,,15.2,12/30/2016 11:00 AM,FosterWeatherStation201612301100
Oak Street Weather Station,12/30/2016 11:00:00 AM,-0.6,-3.1,56,0,0,135.1,0,315,1.7,2.7,995.7,203,1,12,12/30/2016 11:00 AM,OakStreetWeatherStation201612301100
63rd Street Weather Station,12/30/2016 10:00:00 AM,-2,-3.9,65,0,0,39.3,0,289,4,6.3,996,330,354,11.8,12/30/2016 10:00 AM,63rdStreetWeatherStation201612301000
Foster Weather Station,12/30/2016 10:00:00 AM,-2.39,,55,,0,,,278,4.5,4.9,995.3,0,,14.8,12/30/2016 10:00 AM,FosterWeatherStation201612301000
Oak Street Weather Station,12/30/2016 10:00:00 AM,-1.4,-3.5,60,0,0,135.1,0,315,1.8,5.1,996.2,306,0,12,12/30/2016 10:00 AM,OakStreetWeatherStation201612301000
63rd Street Weather Station,12/30/2016 09:00:00 AM,-2.4,-4.1,66,0,0,39.3,0,289,3,7.4,995.7,150,354,11.9,12/30/2016 9:00 AM,63rdStreetWeatherStation201612300900
Foster Weather Station,12/30/2016 09:00:00 AM,-3.5,,59,,0,,,264,5.4,6.4,994.9,0,,14.8,12/30/2016 9:00 AM,FosterWeatherStation201612300900
Oak Street Weather Station,12/30/2016 09:00:00 AM,-2.1,-4.1,63,0,0,135.1,0,301,1.6,3.1,996,40,0,12,12/30/2016 9:00 AM,OakStreetWeatherStation201612300900
63rd Street Weather Station,12/30/2016 08:00:00 AM,-2.8,-4.4,67,0,0,39.3,0,285,2.5,5.3,995.9,49,354,11.9,12/30/2016 8:00 AM,63rdStreetWeatherStation201612300800
Foster Weather Station,12/30/2016 08:00:00 AM,-3.5,,60,,0,,,259,2.9,4.1,995.3,0,,15.2,12/30/2016 8:00 AM,FosterWeatherStation201612300800
Oak Street Weather Station,12/30/2016 08:00:00 AM,-2.3,-4.2,64,0,0,135.1,0,329,1.8,3.5,996.1,35,0,12.1,12/30/2016 8:00 AM,OakStreetWeatherStation201612300800
63rd Street Weather Station,12/30/2016 07:00:00 AM,-2.8,-4.4,68,0,0,39.3,0,286,3.7,7.4,995.3,5,353,11.9,12/30/2016 7:00 AM,63rdStreetWeatherStation201612300700
Foster Weather Station,12/30/2016 07:00:00 AM,-3.5,,60,,0,,,276,4.3,4.6,994.6,0,,15.2,12/30/2016 7:00 AM,FosterWeatherStation201612300700
